,seq,x,y,orient_x,orient_y,orient_z,orient_w,linear_x,linear_y,angular_z
0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
3,3.0,-0.0879595743717844,0.12391052364229399,0.0,,,,-2.2290612335329352e-13,0.34722684454887354,0.0
4,4.0,-0.08795957481643225,0.12147634534547462,0.0,,,,-2.223632537699396e-13,0.2891566094319616,0.0
5,5.0,-0.08795957829600873,0.12363059414636085,0.0,,,,-2.2179199820669904e-13,0.21637783569418179,0.0
6,6.0,-0.29343776374554464,0.4107928899082753,0.0,,,,-1.1731310672456321e-07,0.6470297484575614,6.522573049493316e-19
7,7.0,-0.2934844576386861,0.4090002080952526,0.0,,,,-1.5549760497490636e-12,0.5818810972708084,1.664264616688044e-24
8,8.0,-0.29353182551455514,0.409444934710765,0.0,,,,-1.552344863235887e-12,0.528404870516936,4.122314245791985e-30
9,9.0,-0.5730835504345473,0.8549293946045422,0.0,,,,-2.128877560365907e-06,0.9131924666455156,8.525372096165592e-18
10,10.0,-0.5732918231116139,0.8640589244450784,0.0,,,,-3.237530259121664e-06,0.9131885737349771,8.525372096165592e-18
11,11.0,-0.5733406941372245,0.8364577235387408,0.0,,,,-4.417028330669152e-12,0.7893245914650814,9.859923597156419e-29
12,12.0,-0.9368066509980271,1.249377702174214,0.0,,,,-1.1104214028048228e-05,1.0066803515828524,2.789441291596791e-17
13,13.0,-1.2745299443358418,1.561087459500051,0.0,,,,-3.991266866096384e-06,1.1512375672090251,3.1631013897974116e-23
14,14.0,-1.66580513460022,2.1145151536429907,0.0,,,,-1.3375085822133976e-06,1.3224463689202293,1.5174913378096449e-18
15,15.0,-1.6727088308807916,2.1156379326645935,0.0,,,,-2.491018758581696e-11,1.205566005464372,9.266194964144585e-30
16,16.0,-1.6787604660250863,2.1181232153661904,0.0,,,,-2.4707021188189212e-11,1.1053845750879208,5.873124711448966e-41
17,17.0,-2.1959842185839165,2.704010162131279,0.0,,,,-2.0519768179549208e-05,1.4230349364403305,1.779143962172696e-17
18,18.0,-2.664330576996835,3.167664453355126,0.0,,,,-4.8202310695871404e-11,1.5708346533900996,2.039640916572257e-28
19,19.0,-3.2465714153363785,3.7636926246135185,0.0,,,,-6.313714493189372e-05,1.7382016429906773,2.6505387175267818e-17
20,20.0,-3.7241168621179632,4.184936342666865,0.0,,,,-1.7860696510534126e-05,1.8476915116268493,3.002105536422621e-23
21,21.0,-4.349061567685372,4.802415258101224,0.0,,,,-8.42423414833014e-05,1.9981500185315915,8.442461182476836e-18
22,22.0,-4.851686183905696,5.238811858863236,0.0,,,,-8.743241991490442e-11,2.0260807606143176,1.25940260953031e-34
23,23.0,-4.898125261304556,5.233081807294338,0.0,,,,-8.63317524290961e-11,1.9012185883545571,7.603900085194289e-46
24,24.0,-5.354679810980929,5.727774361838694,0.0,,,,-4.9743375442633953e-05,2.1127733993907647,-6.65553505335963e-18
25,25.0,-5.741910745074724,6.107707903865869,0.0,,,,-9.507080273341806e-11,2.1604116579585746,-6.411803997198971e-29
26,26.0,-5.759604208774775,6.101075843997692,0.0,,,,-9.455692016570854e-11,2.0966898376539844,-2.064270773024804e-34
27,27.0,-6.1415615324195905,6.57887745536692,0.0,,,,-9.646889229495328e-05,2.196997062966167,-2.0105329047675857e-17
28,28.0,-6.160112897852503,6.590642581576127,0.0,,,,-0.00011999510620623129,2.1965042877683163,-2.0105329047675857e-17
29,29.0,-6.203245839773922,6.580186679534454,0.0,,,,-9.079675777194001e-11,2.0063511658448747,-8.37921194948733e-35
30,30.0,-6.546444633890063,7.013083517497457,0.0,,,,-3.6394540329435127e-06,2.0419256808147774,-5.089528563724137e-19
31,31.0,-6.577851250458076,7.0200911559869015,0.0,,,,-8.823907527688006e-11,1.9256264856115788,-3.264823426431385e-30
32,32.0,-6.594057074202798,7.024805145824213,0.0,,,,-8.752484136856191e-11,1.8700621404919244,-8.047257164048691e-36
33,33.0,-6.962200391922199,7.320274674792233,0.0,,,,-9.416064532433907e-05,1.9767445851865912,-1.681507960714176e-18
34,34.0,-7.20147447348498,7.50050005024019,0.0,,,,-8.873875978989526e-11,1.9030283523540052,-5.484901861469786e-30
35,35.0,-7.233473752511826,7.513477476498822,0.0,,,,-8.72544387203635e-11,1.7975185204002466,-3.5197446362240587e-41
36,36.0,-7.669701843286587,7.774093249833215,0.0,,,,-8.85839672653e-11,1.8159915067617838,7.401023156415555e-25
37,37.0,-7.684954781215516,7.783935642466951,0.0,,,,-2.2146019722048292e-05,1.814572131066917,7.401023156415555e-25
38,38.0,-7.681426652912018,7.777388686356843,0.0,,,,-8.791806420587114e-11,1.7656069863382704,2.06992356735135e-30
39,39.0,-7.915513281742103,8.292386002947175,0.0,,,,0.020389326057767075,1.7652783301782935,-6.353351056764009e-05
40,40.0,-7.932354351810178,8.312328858942719,0.0,,,,0.08890164232009438,1.6635722517956764,-0.005426797956142452
41,41.0,-7.944185200079294,8.324045163862555,0.0,,,,0.08926103457469668,1.6617681714120545,-0.005426797956142452
42,42.0,-8.093604509114408,8.709432451945654,0.0,,,,0.16802538111597287,1.553312962441631,0.01005021848478515
43,43.0,-8.102849445510218,8.722014759049609,0.0,,,,0.16872540211909962,1.55118876099542,0.01005021848478515
44,44.0,-8.101497050548081,8.735481927314677,0.0,,,,0.19395125955103495,1.4621444304226632,0.0011106089938032462
45,45.0,-8.417188327843377,8.988918236465437,0.0,,,,0.20555904094130767,1.4646406675988162,-0.017315370113651286
46,46.0,-8.425812053029793,9.000919791914065,0.0,,,,0.20640431891083996,1.4622219805675065,-0.017315370113651286
47,47.0,-8.423038080389922,9.013576307797209,0.0,,,,0.23918961617846393,1.3779908001063828,-0.004419828668238809
48,48.0,-8.658144193206674,9.226759991695227,0.0,,,,0.31098707608672754,1.349888933980464,-0.02183737629134305
49,49.0,-8.668968258405789,9.278309758938555,0.0,,,,0.4371312982542905,1.2596717781090376,-0.01709212819393348
50,50.0,-8.674708922526152,9.290332264005302,0.0,,,,0.43897465075223024,1.2567289195198021,-0.01709212819393348
51,51.0,-8.98835443602016,9.503170955784398,0.0,,,,0.4460835159996825,1.262301336529718,-0.034551644207328445
52,52.0,-8.994714235997694,9.514939230754427,0.0,,,,0.4479319351108263,1.2592677055855124,-0.034551644207328445
53,53.0,-8.998638611053954,9.55332685601428,0.0,,,,0.5049516409707052,1.1739431397701485,-0.03680179934099906
54,54.0,-9.191308633458181,9.739184777321393,0.0,,,,0.5325642513111102,1.151127256881666,-0.03367517944468611
55,55.0,-9.193474216141972,9.761451821348153,0.0,,,,0.4967412568654482,1.0740918974925424,-0.03092571247968788
56,56.0,-9.198337436434542,9.772227131080204,0.0,,,,0.4986950093372368,1.0705374638086254,-0.03092571247968788
57,57.0,-9.325731940479015,9.824019145453327,0.0,,,,0.5030887660490515,1.0404715819828028,-0.03756162035170711
58,58.0,-9.400894352525032,9.854658455170274,0.0,,,,0.5776023751170738,0.9536469528319134,0.015933581322714416
59,59.0,-9.505032118009654,10.058011755316825,0.0,,,,0.6377155161833006,0.9028986440573135,0.007782262028820968
60,60.0,-9.508539924686923,10.068484648619359,0.0,,,,0.6401665033964412,0.8988964654065688,0.007782262028820968
61,61.0,-9.497832260413185,10.09053599177447,0.0,,,,0.7072672278467128,0.8341248501582863,-0.029078340654128208
62,62.0,-9.447744567404843,10.23135149857907,0.0,,,,0.7324509024627015,0.7790160558514878,-0.028383141670841987
63,63.0,-9.442561710107759,10.245049075059422,0.0,,,,0.7514214720440292,0.7485102313167105,-0.02064010598706557
64,64.0,-9.443650606791705,10.255593815699893,0.0,,,,0.7542995881844451,0.7441029587997444,-0.02064010598706557
65,65.0,-9.372473943954505,10.495396210556708,0.0,,,,0.7928314813496162,0.7099053355113517,-0.0011491155480671952
66,66.0,-9.302381706269685,10.656243207135663,0.0,,,,0.8419439228616082,0.6449054317725725,-0.007175760093707153
67,67.0,-9.300815519475217,10.66673086599522,0.0,,,,0.8450928714484822,0.6402653863786943,-0.007175760093707153
68,68.0,-9.423450584138143,10.687309980957435,0.0,,,,0.8331822524444613,0.5493588993702904,-0.039255579029592924
69,69.0,-9.422044667696472,10.697189440473586,0.0,,,,0.836165039222179,0.5444840851091117,-0.039255579029592924
70,70.0,-9.41636432280496,10.702955093882055,0.0,,,,0.8381356405201895,0.5228417355169633,-0.014925815313772198
71,71.0,-9.490272636485571,10.768405023356102,0.0,,,,0.8575576277567208,0.4904677288471836,-0.018838500106780374
72,72.0,-9.54793260848379,10.784170398154416,0.0,,,,0.8922728173767177,0.4661040920623317,-0.02202714904848586
73,73.0,-9.548862226716679,10.780908874955797,0.0,,,,0.8904052357534645,0.38130400096992767,-0.03319292131801508
74,74.0,-9.52179109589954,10.800128411698388,0.0,,,,1.040724393984436,0.2862475611910546,-0.08314770381333375
75,75.0,-9.638490285941396,10.834031465300308,0.0,,,,1.046659448623394,0.2933607427388425,-0.083085848318127
76,76.0,-9.726722037263048,10.862733229447903,0.0,,,,1.062405735507228,0.27869401238775304,-0.04836942467272504
77,77.0,-9.705620983183408,10.913526964396658,0.0,,,,1.1537016707509826,0.240571086972412,-0.024745467419527323
78,78.0,-9.804180287296715,10.887098427153695,0.0,,,,1.1568567087323594,0.21323089377717158,-0.0345429162594604
79,79.0,-9.890373426886658,10.837628056076523,0.0,,,,1.1562566958559377,0.20220256912653842,-0.035328535250415606
80,80.0,-9.777758194021509,10.911686823267932,0.0,,,,1.195622929611756,0.1259733677048464,-0.06521302305222124
81,81.0,-9.67496807964238,10.964566410025773,0.0,,,,1.1782673381731896,0.05486783339175729,-0.04654766355134556
82,82.0,-9.74187556133111,11.00136225153909,0.0,,,,1.1855946470158114,0.05360040518482681,-0.04651601271377303
83,83.0,-9.79737985207526,11.025864405065867,0.0,,,,1.156905968158878,0.04853795581418801,-0.05635759672692072
84,84.0,-9.783155358554827,11.063451301122889,0.0,,,,1.141315857450555,0.02449142074787005,-0.0734173867360065
85,85.0,-9.767159833828993,11.045264589631511,0.0,,,,1.1247084619790328,-0.005670066175854433,-0.05170931062545491
